real,imag,names
-0.3159021777510082,0.11321447895361192,"GT1exc,GT2exc,GT1,GT2"
-0.3159021777510082,-0.11321447895361192,"GT1exc,GT2exc,GT1,GT2"
-0.3333333333333336,0.0,GT2govdb
-0.33333333333333365,0.0,GT1govdb
-0.40217167059833286,0.0,"GT1,GT2"
-0.7208656316253923,0.8718734634834441,"GT1exc,GT2exc,GT1,GT2"
-0.7208656316253923,-0.8718734634834441,"GT1exc,GT2exc,GT1,GT2"
-0.8771017535681979,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-1.0,0.0,BCictrl
-1.0,0.0,ELictrl
-1.0,0.0,FCictrl
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.6120769293651735,1.0292034843680493,"GT1govdb,GT2govdb,GT1,GT2"
-1.6120769293651735,-1.0292034843680493,"GT1govdb,GT2govdb,GT1,GT2"
-1.6164768155468348,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-1.6205186222336099,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-1.6328063602443528,0.0,WT2udcquacctrl
-1.9999999999994462,0.0,PLATPsecctrl
-2.0000000000000067,0.0,PLATPsecctrl
-2.297941657997217,15.237277346867685,"GT1,GT2"
-2.297941657997217,-15.237277346867685,"GT1,GT2"
-2.4765169360419588,0.0,"GT1govdb,GT2govdb"
-2.754043841391959,0.0,"GT1,GT2"
-3.7148836323870813,0.0,"GT1,GT2"
-4.273271283645466,2.8491058963393376,"BCpll,FLEXpll"
-4.273271283645466,-2.8491058963393376,"BCpll,FLEXpll"
-4.787139688851989,5.301661684856695,"GT1exc,GT2exc"
-4.787139688851989,-5.301661684856695,"GT1exc,GT2exc"
-4.816678447032035,2.2700678378746413,"BCpll,FLEXpll"
-4.816678447032035,-2.2700678378746413,"BCpll,FLEXpll"
-4.996763080445873,2.2389589546412725,PLATpll
-4.996763080445873,-2.2389589546412725,PLATpll
-5.062694620381934,5.698171001486198,"GT1exc,GT2exc"
-5.062694620381934,-5.698171001486198,"GT1exc,GT2exc"
-5.135708979548006,9.20418378154229,"WT1udcquacctrl,WT1GC"
-5.135708979548006,-9.20418378154229,"WT1udcquacctrl,WT1GC"
-5.538222807079107,9.47709568412206,"WT3udcquacctrl,WT3GC"
-5.538222807079107,-9.47709568412206,"WT3udcquacctrl,WT3GC"
-5.547571445378349,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-5.55784186378347,9.475594079497352,"WT2udcquacctrl,WT2GC"
-5.55784186378347,-9.475594079497352,"WT2udcquacctrl,WT2GC"
-5.586673345881825,0.0,WT2udcquacctrl
-5.594203875756435,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-5.798114565977865,8.889883497548603,"FLEXudcquacctrl,FLEXGC"
-5.798114565977865,-8.889883497548603,"FLEXudcquacctrl,FLEXGC"
-5.80392468131282,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-6.308621505839489,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-8.645655129080238,0.0,BCictrl
-9.574307596095744,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-9.609972253519006,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-9.999999999999998,0.0,FLEX_iact_ref_gen
-10.0,0.0,ELiactref
-10.0,0.0,FCiactref
-10.0,0.0,WT1_iact_ref_gen
-10.0,0.0,WT2_iact_ref_gen
-10.0,0.0,WT3_iact_ref_gen
-10.000000000000009,0.0,PLATPsecctrl
-10.000000000000009,0.0,GT1qctrl
-10.000000000000009,0.0,GT2qctrl
-10.067790066728847,0.0,"GT1govdb,GT2govdb"
-10.200231458522685,0.0,"GT1govdb,GT2govdb"
-10.45176560326947,0.0,WT1_iact_ref_gen
-16.156900223488975,8.214470147583048,"ESSGCudcquacctrl,ESSGC"
-16.156900223488975,-8.214470147583048,"ESSGCudcquacctrl,ESSGC"
-19.74646106620632,0.0,"BAT+_INT0,ESSGC"
-19.999999979148523,0.0,WT1udcquacctrl
-20.0,0.0,ESSGCudcquacctrl
-20.0,0.0,WT2udcquacctrl
-20.0,0.0,WT3udcquacctrl
-20.0,0.0,BCiactref
-20.00000000292913,0.0,FLEXudcquacctrl
-20.043242748512977,0.0,"WT1GC,WT2GC,WT3GC"
-20.08864082246671,0.0,"WT2GC,WT3GC"
-20.096813087887273,0.0,WT1GC
-20.156247260661175,0.0,ESSGC
-20.852106360561095,0.0,FLEXGC
-25.898047846656496,0.0,"GT1,GT2"
-37.7045719174109,0.0,"GT1,GT2"
-42.012629448090344,0.0,"GT1,GT2"
-45.456267750213435,0.0,"GT1,GT2"
-46.77261853356156,0.0,ELiactref
-49.99999998217496,0.0,FLEX_iact_ref_gen
-49.99999999999727,0.0,ELiactref
-49.99999999999727,0.0,FCiactref
-49.99999999999727,0.0,FCiactref
-50.00000000000005,0.0,BCiactref
-50.01175723804035,82.02971312937183,"ELictrl,ELLR"
-50.01175723804035,-82.02971312937183,"ELictrl,ELLR"
-50.741238741521244,0.0,FLEX_iact_ref_gen
-57.73177954546224,14.402061974576373,BATLR
-57.73177954546224,-14.402061974576373,BATLR
-64.35843848820446,95.29003925357098,"FCictrl,FCLR"
-64.35843848820446,-95.29003925357098,"FCictrl,FCLR"
-99.99486646844882,0.0,"GT1exc,GT2exc"
-99.9979010127681,0.0,"GT1exc,GT2exc"
-99.99999999819546,0.0,WT2udcquacctrl
-99.99999999996159,0.0,"WT2udcquacctrl,WT3udcquacctrl"
-99.99999999999454,0.0,WT1_iact_ref_gen
-99.99999999999454,0.0,WT2_iact_ref_gen
-99.99999999999454,0.0,WT3_iact_ref_gen
-100.00000000000368,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-100.00000000004724,0.0,FLEXudcquacctrl
-100.0000000119981,0.0,ESSGCudcquacctrl
-155.84740969436163,305.2367194127199,"ESSGCudcquacctrl,ESSDC+,ESSDC-"
-155.84740969436163,-305.2367194127199,"ESSGCudcquacctrl,ESSDC+,ESSDC-"
-236.51099404622394,476.08651119956653,"FLEXudcquacctrl,FLEXDC-,FLEXDC+"
-236.51099404622394,-476.08651119956653,"FLEXudcquacctrl,FLEXDC-,FLEXDC+"
-257.561621453481,0.0,FLEXudcquacctrl
-283.8231530446731,0.0,WT3udcquacctrl
-284.76289929386905,0.0,WT2udcquacctrl
-291.7121984882268,0.0,"WT1udcquacctrl,WT2udcquacctrl"
-573.2130697534827,403.7624942714092,"WT1udcquacctrl,WT3udcquacctrl,WT1DC-,WT3DC-,WT3DC"
-573.2130697534827,-403.7624942714092,"WT1udcquacctrl,WT3udcquacctrl,WT1DC-,WT3DC-,WT3DC"
-578.0446042133638,395.2806409137461,"WT2udcquacctrl,WT2DC-,WT2DC"
-578.0446042133638,-395.2806409137461,"WT2udcquacctrl,WT2DC-,WT2DC"
-754.7199252997912,0.0,ESSGCudcquacctrl
-790.1651151467288,507.5075362774382,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl,WT1DC-,WT2DC-,WT3DC-"
-790.1651151467288,-507.5075362774382,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl,WT1DC-,WT2DC-,WT3DC-"
-881.4158399395051,0.0,FCictrl
-923.3520715870796,0.0,ELictrl
-935.1341393525455,0.0,BCictrl
