real,imag,names
-0.31563476985367456,0.11390058263725292,"GT1exc,GT2exc,GT1,GT2"
-0.31563476985367456,-0.11390058263725292,"GT1exc,GT2exc,GT1,GT2"
-0.3333333333333336,0.0,GT2govdb
-0.33333333333333365,0.0,GT1govdb
-0.40248875967652353,0.0,"GT1,GT2"
-0.7225866604388013,0.8775477869613818,"GT1exc,GT2exc,GT1,GT2"
-0.7225866604388013,-0.8775477869613818,"GT1exc,GT2exc,GT1,GT2"
-0.8775149799477355,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-1.0,0.0,BCictrl
-1.0,0.0,ELictrl
-1.0,0.0,FCictrl
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.4425461488341143,1.2283794443676377,"GT1govdb,GT2govdb,GT1,GT2"
-1.4425461488341143,-1.2283794443676377,"GT1govdb,GT2govdb,GT1,GT2"
-1.6164039047553584,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-1.6204832497424677,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-1.6327709139666617,0.0,WT2udcquacctrl
-1.9999999996131061,0.0,PLATPsecctrl
-2.000000000000001,0.0,PLATPsecctrl
-2.285309658585883,15.251889129534343,"GT1,GT2"
-2.285309658585883,-15.251889129534343,"GT1,GT2"
-2.468859030287499,0.0,"GT1govdb,GT2govdb"
-2.7440270865156458,0.0,"GT1,GT2"
-3.714496747944183,0.0,"GT1,GT2"
-4.496417155903525,2.634366213003891,"BCpll,FLEXpll"
-4.496417155903525,-2.634366213003891,"BCpll,FLEXpll"
-4.812780293621037,5.309969406377563,"GT1exc,GT2exc"
-4.812780293621037,-5.309969406377563,"GT1exc,GT2exc"
-4.871072713442723,2.2634375722941487,"BCpll,FLEXpll"
-4.871072713442723,-2.2634375722941487,"BCpll,FLEXpll"
-4.99658817901609,2.2391149241191615,PLATpll
-4.99658817901609,-2.2391149241191615,PLATpll
-5.066029029817158,5.697105669458196,"GT1exc,GT2exc"
-5.066029029817158,-5.697105669458196,"GT1exc,GT2exc"
-5.135879795335802,9.204232126262328,"WT1udcquacctrl,WT1GC"
-5.135879795335802,-9.204232126262328,"WT1udcquacctrl,WT1GC"
-5.538384375770958,9.477194977340787,"WT3udcquacctrl,WT3GC"
-5.538384375770958,-9.477194977340787,"WT3udcquacctrl,WT3GC"
-5.547373961389863,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-5.558053191964509,9.475617592970814,"WT2udcquacctrl,WT2GC"
-5.558053191964509,-9.475617592970814,"WT2udcquacctrl,WT2GC"
-5.586669998340124,0.0,WT2udcquacctrl
-5.594200704008347,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-5.804395526732588,8.884565446528796,"FLEXudcquacctrl,FLEXGC"
-5.804395526732588,-8.884565446528796,"FLEXudcquacctrl,FLEXGC"
-5.805231562112446,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-6.311183714494017,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-8.563277691965162,0.0,BCictrl
-9.574285373417604,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-9.610132173675778,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-9.999999999999998,0.0,FLEX_iact_ref_gen
-10.0,0.0,ELiactref
-10.0,0.0,FCiactref
-10.0,0.0,WT1_iact_ref_gen
-10.0,0.0,WT2_iact_ref_gen
-10.0,0.0,WT3_iact_ref_gen
-10.000000000000009,0.0,PLATPsecctrl
-10.000000000000009,0.0,GT1qctrl
-10.000000000000009,0.0,GT2qctrl
-10.0901587060116,0.0,"GT1govdb,GT2govdb"
-10.268689691324381,0.0,"GT1govdb,GT2govdb"
-10.453379776662532,0.0,WT1_iact_ref_gen
-16.14674927608387,8.20871213968955,"ESSGCudcquacctrl,ESSGC"
-16.14674927608387,-8.20871213968955,"ESSGCudcquacctrl,ESSGC"
-19.846935900250863,0.0,ESSGC
-19.99999998048137,0.0,WT1udcquacctrl
-19.999999999127834,0.0,FLEXudcquacctrl
-20.0,0.0,ESSGCudcquacctrl
-20.0,0.0,WT2udcquacctrl
-20.0,0.0,WT3udcquacctrl
-20.0,0.0,BCiactref
-20.046633983208526,0.0,"WT1GC,WT2GC,WT3GC"
-20.08865323825307,0.0,"WT2GC,WT3GC"
-20.097059714814034,0.0,WT1GC
-20.206291611377143,0.0,"BAT+_INT0,ESSGC"
-20.8816613889983,0.0,FLEXGC
-25.64942505203283,0.0,"GT1,GT2"
-37.6758675044231,0.0,"GT1,GT2"
-42.017928981588845,0.0,"GT1,GT2"
-45.45617359946571,0.0,"GT1,GT2"
-46.77261853372833,0.0,ELiactref
-49.719386693665285,0.0,FLEX_iact_ref_gen
-49.9999999837353,0.0,FLEX_iact_ref_gen
-49.99999999999727,0.0,ELiactref
-49.99999999999727,0.0,FCiactref
-49.99999999999727,0.0,FCiactref
-50.00000000000005,0.0,BCiactref
-50.01175723852909,82.0297131298988,"ELictrl,ELLR"
-50.01175723852909,-82.0297131298988,"ELictrl,ELLR"
-58.104788093836675,10.521780639583891,BATLR
-58.104788093836675,-10.521780639583891,BATLR
-64.35843848819502,95.29003925357483,"FCictrl,FCLR"
-64.35843848819502,-95.29003925357483,"FCictrl,FCLR"
-99.99487215597806,0.0,"GT1exc,GT2exc"
-99.99790411435522,0.0,"GT1exc,GT2exc"
-99.99999999342165,0.0,FLEXudcquacctrl
-99.99999999945612,0.0,"WT1udcquacctrl,WT2udcquacctrl"
-99.99999999991117,0.0,WT2udcquacctrl
-99.99999999999454,0.0,WT1_iact_ref_gen
-99.99999999999454,0.0,WT2_iact_ref_gen
-99.99999999999454,0.0,WT3_iact_ref_gen
-100.00000000067983,0.0,ESSGCudcquacctrl
-100.00000000170917,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-156.20240679747545,305.36891911433565,"ESSGCudcquacctrl,ESSDC+,ESSDC-"
-156.20240679747545,-305.36891911433565,"ESSGCudcquacctrl,ESSDC+,ESSDC-"
-236.39090541776062,476.21898700515175,"FLEXudcquacctrl,FLEXDC-,FLEXDC+"
-236.39090541776062,-476.21898700515175,"FLEXudcquacctrl,FLEXDC-,FLEXDC+"
-257.49521304096373,0.0,FLEXudcquacctrl
-283.8285207517293,0.0,WT3udcquacctrl
-284.76852363684407,0.0,WT2udcquacctrl
-291.71654059566725,0.0,"WT1udcquacctrl,WT2udcquacctrl"
-573.1860794614007,403.7460491057612,"WT1udcquacctrl,WT3udcquacctrl,WT1DC-,WT3DC-,WT3DC"
-573.1860794614007,-403.7460491057612,"WT1udcquacctrl,WT3udcquacctrl,WT1DC-,WT3DC-,WT3DC"
-578.0172376118373,395.26458320546675,"WT2udcquacctrl,WT2DC-,WT2DC"
-578.0172376118373,-395.26458320546675,"WT2udcquacctrl,WT2DC-,WT2DC"
-754.2962195679876,0.0,ESSGCudcquacctrl
-790.1004312667079,507.5632061866825,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl,WT1DC-,WT2DC-,WT3DC-"
-790.1004312667079,-507.5632061866825,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl,WT1DC-,WT2DC-,WT3DC-"
-881.4158399416815,0.0,FCictrl
-923.352071586733,0.0,ELictrl
-935.0827688799144,0.0,BCictrl
