real,imag,names
-0.3153677302617673,0.11458675854757502,"GT1exc,GT2exc,GT1,GT2"
-0.3153677302617673,-0.11458675854757502,"GT1exc,GT2exc,GT1,GT2"
-0.3333333333333336,0.0,GT1govdb
-0.3333333333333336,0.0,GT2govdb
-0.4030772882670338,0.0,"GT1,GT2"
-0.726123937794264,0.8825755594397737,"GT1exc,GT2exc,GT1,GT2"
-0.726123937794264,-0.8825755594397737,"GT1exc,GT2exc,GT1,GT2"
-0.8778205270710983,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-1.0,0.0,BCictrl
-1.0,0.0,ELictrl
-1.0,0.0,FCictrl
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.2643833470217836,1.3691464558475415,"GT1govdb,GT2govdb,GT1,GT2"
-1.2643833470217836,-1.3691464558475415,"GT1govdb,GT2govdb,GT1,GT2"
-1.6163316573739577,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-1.6204475742885451,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-1.6327351684070692,0.0,WT2udcquacctrl
-2.0,0.0,PLATPsecctrl
-2.000000000000242,0.0,PLATPsecctrl
-2.272718874082635,15.266507098964734,"GT1,GT2"
-2.272718874082635,-15.266507098964734,"GT1,GT2"
-2.4612824835486427,0.0,"GT1govdb,GT2govdb"
-2.734797543902911,0.0,"GT1,GT2"
-3.7140597435157496,0.0,"GT1,GT2"
-4.737342065495348,2.437899844495337,"BCpll,FLEXpll"
-4.737342065495348,-2.437899844495337,"BCpll,FLEXpll"
-4.837730384924186,5.3149065252826535,"GT1exc,GT2exc"
-4.837730384924186,-5.3149065252826535,"GT1exc,GT2exc"
-4.928008108078981,2.255458060179029,"BCpll,FLEXpll"
-4.928008108078981,-2.255458060179029,"BCpll,FLEXpll"
-4.996411800329975,2.2392721861138885,PLATpll
-4.996411800329975,-2.2392721861138885,PLATpll
-5.069350181715109,5.69604655303,"GT1exc,GT2exc"
-5.069350181715109,-5.69604655303,"GT1exc,GT2exc"
-5.136050834559322,9.204279312010538,"WT1udcquacctrl,WT1GC"
-5.136050834559322,-9.204279312010538,"WT1udcquacctrl,WT1GC"
-5.538547377990673,9.477294836502525,"WT3udcquacctrl,WT3GC"
-5.538547377990673,-9.477294836502525,"WT3udcquacctrl,WT3GC"
-5.547162158076639,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-5.558264261826791,9.475637477860245,"WT2udcquacctrl,WT2GC"
-5.558264261826791,-9.475637477860245,"WT2udcquacctrl,WT2GC"
-5.5866666340264635,0.0,WT2udcquacctrl
-5.5941975611893175,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-5.806827865899336,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-5.810727824556178,8.879143423074648,"FLEXudcquacctrl,FLEXGC"
-5.810727824556178,-8.879143423074648,"FLEXudcquacctrl,FLEXGC"
-6.314551778779984,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-8.467042606344576,0.0,BCictrl
-9.574262982059148,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-9.610326999549082,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-10.0,0.0,ELiactref
-10.0,0.0,FCiactref
-10.0,0.0,FLEX_iact_ref_gen
-10.0,0.0,WT1_iact_ref_gen
-10.0,0.0,WT2_iact_ref_gen
-10.0,0.0,WT3_iact_ref_gen
-10.000000000000009,0.0,PLATPsecctrl
-10.000000000000009,0.0,GT1qctrl
-10.000000000000009,0.0,GT2qctrl
-10.112414517564087,0.0,"GT1govdb,GT2govdb"
-10.337780315277744,0.0,"GT1govdb,GT2govdb"
-10.456984273518101,0.0,WT1_iact_ref_gen
-16.135705238677634,8.202514396349896,"ESSGCudcquacctrl,ESSGC"
-16.135705238677634,-8.202514396349896,"ESSGCudcquacctrl,ESSGC"
-19.92633012825797,0.0,ESSGC
-19.999999981478894,0.0,WT1udcquacctrl
-19.99999999921462,0.0,FLEXudcquacctrl
-19.999999999999996,0.0,BCiactref
-20.0,0.0,ESSGCudcquacctrl
-20.0,0.0,WT2udcquacctrl
-20.0,0.0,WT3udcquacctrl
-20.050797548772856,0.0,"WT1GC,WT2GC,WT3GC"
-20.088665429992346,0.0,"WT2GC,WT3GC"
-20.097260092819955,0.0,WT1GC
-20.304409940189487,0.0,BAT+_INT0
-20.91418455277128,0.0,FLEXGC
-25.351196186928437,0.0,"GT1,GT2"
-37.63820687997652,0.0,"GT1,GT2"
-42.023249431831374,0.0,"GT1,GT2"
-45.45607714748681,0.0,"GT1,GT2"
-46.77261853350228,0.0,ELiactref
-48.69671823499482,0.0,FLEX_iact_ref_gen
-49.99999999560986,0.0,FLEX_iact_ref_gen
-49.99999999999727,0.0,ELiactref
-49.99999999999727,0.0,FCiactref
-49.99999999999727,0.0,FCiactref
-50.00000000000004,0.0,BCiactref
-50.011757238458,82.02971312947548,"ELictrl,ELLR"
-50.011757238458,-82.02971312947548,"ELictrl,ELLR"
-58.46813691406517,3.9413671567022432,BATLR
-58.46813691406517,-3.9413671567022432,BATLR
-64.35843848819991,95.29003925358373,"FCictrl,FCLR"
-64.35843848819991,-95.29003925358373,"FCictrl,FCLR"
-99.99487791832753,0.0,"GT1exc,GT2exc"
-99.99790723291397,0.0,"GT1exc,GT2exc"
-99.99999998911008,0.0,FLEXudcquacctrl
-99.99999999998735,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-99.99999999999454,0.0,WT1_iact_ref_gen
-99.99999999999454,0.0,WT2_iact_ref_gen
-99.99999999999454,0.0,WT3_iact_ref_gen
-99.99999999999648,0.0,"WT1udcquacctrl,WT2udcquacctrl"
-100.00000000025447,0.0,WT3udcquacctrl
-100.00000000200176,0.0,ESSGCudcquacctrl
-156.5717438002412,305.49908267744894,"ESSGCudcquacctrl,ESSDC+,ESSDC-"
-156.5717438002412,-305.49908267744894,"ESSGCudcquacctrl,ESSDC+,ESSDC-"
-236.26938205042606,476.3515948588344,"FLEXudcquacctrl,FLEXDC-,FLEXDC+"
-236.26938205042606,-476.3515948588344,"FLEXudcquacctrl,FLEXDC-,FLEXDC+"
-257.4293734144691,0.0,FLEXudcquacctrl
-283.83393502528753,0.0,WT3udcquacctrl
-284.7741961507753,0.0,WT2udcquacctrl
-291.720950828904,0.0,"WT1udcquacctrl,WT2udcquacctrl"
-573.1588637880272,403.7294664850782,"WT1udcquacctrl,WT3udcquacctrl,WT1DC-,WT3DC-,WT3DC"
-573.1588637880272,-403.7294664850782,"WT1udcquacctrl,WT3udcquacctrl,WT1DC-,WT3DC-,WT3DC"
-577.9896423990193,395.24838949060717,"WT2udcquacctrl,WT2DC-,WT2DC"
-577.9896423990193,-395.24838949060717,"WT2udcquacctrl,WT2DC-,WT2DC"
-753.8711904454511,0.0,ESSGCudcquacctrl
-790.035256397335,507.6187607792164,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl,WT1DC-,WT2DC-,WT3DC-"
-790.035256397335,-507.6187607792164,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl,WT1DC-,WT2DC-,WT3DC-"
-881.4158399416604,0.0,FCictrl
-923.3520715867795,0.0,ELictrl
-935.0318883402252,0.0,BCictrl
